id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min
116722,117089,222847,8998,,106    Aqr,,23.736688,-18.276938,116.144,27.6,-3.76,14.0,5.24,-0.085,B9V,-0.084,110.022928,-7.59644,-36.423991,1.397E-5,1.461E-5,-6.5E-6,6.214250486825039,-0.3189927405036975,1.3380857583333335E-7,-1.8228994E-8,,106,Aqr,1,116722,,94.18895965228413,,
116851,117218,223024,9002,,107    Aqr,,23.766922,-18.67834,73.2064,131.86,11.97,-2.0,5.28,0.957,F2:V+...,0.299,69.221637,-4.229112,-23.444701,2.28E-6,4.674E-5,4.68E-6,6.222165615659042,-0.32599853121827627,6.392753191805556E-7,5.8032197E-8,,107,Aqr,1,116851,,36.07447338641916,,
116854,117221,223047,9003,,20Psi And,,23.767234,46.420276,307.6923,9.05,-6.25,-25.0,4.97,-2.471,G5Ib,1.086,211.717898,-12.917595,222.897019,-1.003E-5,1.414E-5,-2.495E-5,6.222247432911833,0.8101866498675186,4.387563809027778E-8,-3.0300855E-8,Psi,20,And,1,116854,,848.0080988896916,,
116878,117245,223075,9004,,19    Psc,,23.773199,3.486811,275.4821,-35.0,-25.0,11.0,4.95,-2.25,C5II,2.508,274.487661,-16.317261,16.754489,1.046E-5,-4.745E-5,-3.264E-5,6.2238089412581035,0.060856329470075,-1.6968478819444446E-7,-1.2120342E-7,,19,Psc,1,116878,,691.8309709189363,TX,5.082
116898,117265,223128,9005,,,,23.776869,66.782244,456.621,7.5,-2.76,-14.0,5.95,-2.348,B2IV,-0.049,179.70511,-10.509429,419.640619,9.4E-7,1.658E-5,-1.557E-5,6.224769825158979,1.1655700479175013,3.636102604166667E-8,-1.3380857E-8,,,Cep,1,116898,,757.1815097147055,,
116932,117299,223173,9010,,,,23.783866,57.451359,492.6108,4.13,-7.45,-6.0,5.55,-2.913,K3II,1.63,264.608008,-14.988488,415.23884,1.223E-5,9.19E-6,-1.474E-5,6.226601503199544,1.0027153709620837,2.0022805006944443E-8,-3.6118619E-8,,,Cas,1,116932,,1274.0896859191112,,
116934,117301,223165,9008,,5Tau Cas,,23.784284,58.651989,53.3333,60.7,56.69,-21.0,4.88,1.245,K1III,1.122,27.701517,-1.566024,45.547715,-2.277E-5,1.701E-5,-1.072E-5,6.226710957966661,1.0236703268576564,2.9428190409722227E-7,2.74840875E-7,Tau,5,Cas,1,116934,,27.66941645411511,,
116947,117314,223170,9009,,,,23.787754,-11.911126,93.5454,-48.26,-93.56,11.0,5.74,0.885,K0III,1.068,91.390094,-5.083416,-19.307249,1.03E-6,-2.198E-5,-4.384E-5,6.22761933475303,-0.20788837192719126,-2.339710822361111E-7,-4.53591679E-7,,,Aqr,1,116947,,38.54783576657719,,
117004,117371,223274,9013,,,,23.798543,67.806808,92.9368,14.55,-1.89,10.0,5.05,0.209,A1Vn,0.007,35.056312,-1.850594,86.051704,4.99E-6,6.3E-6,9.15E-6,6.230444079228417,1.1834520538239424,7.054039052083333E-8,-9.162978E-9,,,Cep,1,117004,,71.84557087925968,,
117008,117375,223252,9012,,20    Psc,,23.79904,-2.761598,97.0874,96.45,5.5,-7.0,5.49,0.554,G8III,0.941,96.840406,-5.099604,-4.677698,-4.63E-6,4.57E-5,2.93E-6,6.230574015524455,-0.04819897168342,4.676027948958334E-7,2.6664752E-8,,20,Psc,1,117008,,52.28775553134414,,
117085,117452,223352,9016,,Del Scl,,23.815427,-28.130268,42.1408,100.03,-104.04,14.0,4.59,1.466,A0V,0.001,37.119774,-1.795041,-19.868511,3.59E-6,2.029E-5,-2.549E-5,6.234864276392341,-0.49096578950133873,4.849591246597223E-7,-5.04400153E-7,Del,,Scl,1,117085,,22.573557110214466,,
117124,117491,223438,9022,,21    Psc,,23.824299,1.076131,93.1099,-0.25,-26.32,5.0,5.77,0.925,A5m,0.167,92.995054,-4.280651,1.748692,5.33E-6,-3.6E-7,-1.178E-5,6.237186822394701,0.0187820374741,-1.2120342013888889E-9,-1.2760296E-7,,21,Psc,1,117124,,37.15352290971726,,
117133,117500,223461,9025,,79    Peg,,23.827608,28.842389,88.3392,62.75,25.01,-4.0,5.95,1.219,A2m,0.187,77.301899,-3.491139,42.614977,-7.53E-6,2.724E-5,7.41E-6,6.238053202930114,0.5033946499541337,3.042205845486111E-7,1.21251901E-7,,79,Peg,1,117133,,28.340010055090957,,
117135,117503,223460,9024,,,,23.828044,36.425281,129.7017,0.2,-47.81,1.0,5.86,0.295,G1IIIe,0.806,104.256397,-4.696572,77.0135,1.866E-5,-7.1E-7,-2.358E-5,6.238167452484239,0.6357410818425749,9.696273611111113E-10,-2.3178942E-7,,,And,1,117135,,66.3743070401909,OU,5.88
117174,117541,223524,9027,,,,23.837425,-9.974136,91.1577,139.84,78.32,-18.0,5.93,1.131,K0IV,1.133,89.698481,-3.820051,-15.788815,-9.5E-6,6.226E-5,3.728E-5,6.240623248180195,-0.1740815215718525,6.779634508888887E-7,3.79706074E-7,,,Aqr,1,117174,,30.73264929204291,,
